ISIN_7_PREFIX,Company,All Companies Seen
INE433M,IL&FS TAMIL NADU POWER COMPANY LIMITED,IL&FS TAMIL NADU POWER COMPANY LIMITED
INE434A,ANDHRA BANK,ANDHRA BANK | UNION BANK OF INDIA
INE435D,MAC CHARLES (INDIA) LIMITED,MAC CHARLES (INDIA) LIMITED
INE435X,TENSHI PHARMACEUTICALS PRIVATE LIMITED,TENSHI PHARMACEUTICALS PRIVATE LIMITED
INE437A,APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLO HOSPITALS ENTERPRISE LIMITED
INE437M,AMRI HOSPITALS LIMITED,AMRI HOSPITALS LIMITED
INE438A,APOLLO TYRES LIMITED,APOLLO TYRES LIMITED
INE439H,CHOLAMANDALAM MS GENERAL INSURANCE CO. LTD.,CHOLAMANDALAM MS GENERAL INSURANCE CO. LTD.
INE439Q,BCIL ZED RIA PROPERTIES PRIVATE LIMITED,BCIL ZED RIA PROPERTIES PRIVATE LIMITED
INE442H,ASHOKA BUILDCON LIMITED,ASHOKA BUILDCON LIMITED
INE443L,BELSTAR MICROFINANCE LIMITED,BELSTAR MICROFINANCE LIMITED
INE444T,SUTLEJ HOUSING PRIVATE LIMITED,SUTLEJ HOUSING PRIVATE LIMITED
INE445K,RELIANCE GROUP,RELIANCE GROUP
INE445L,NABHA POWER LIMITED,NABHA POWER LIMITED
INE448U,VERITAS FINANCE LIMITED,VERITAS FINANCE LIMITED
INE452O,FUTURE LIFESTYLE FASHIONS LIMITED,FUTURE LIFESTYLE FASHIONS LIMITED
INE453I,BHILANGANA HYDRO POWER LIMITED,BHILANGANA HYDRO POWER LIMITED
INE453T,BHARTI ENTERPRISES (HOLDING) PRIVATE LIMITED,BHARTI ENTERPRISES (HOLDING) PRIVATE LIMITED
INE455F,JAIPRAKASH ASSOCIATES LIMITED,JAIPRAKASH ASSOCIATES LIMITED
INE456R,SHINING METAL TRUST SEP 2014- GOLD PTC IX,SHINING METAL TRUST SEP 2014- GOLD PTC IX
INE457A,BANK OF MAHARASHTRA,BANK OF MAHARASHTRA
INE458O,RENEW WIND ENERGY DELHI PRIVATE LIMITED,RENEW WIND ENERGY DELHI PRIVATE LIMITED
INE458U,WADHAWAN GLOBAL CAPITAL LIMITED,WADHAWAN GLOBAL CAPITAL LIMITED
INE459T,VASTU HOUSING FINANCE CORPORATION LIMITED,VASTU HOUSING FINANCE CORPORATION LIMITED
INE461T,CRANES DEVELOPERS PRIVATE LIMITED,CRANES DEVELOPERS PRIVATE LIMITED
INE462G,SIVA INDUSTRIES AND HOLDINGS LTD.,SIVA INDUSTRIES AND HOLDINGS LTD.
INE465A,BHARAT FORGE LIMITED,BHARAT FORGE LIMITED
INE465N,ESSEL LUCKNOW RAEBARELI TOLL ROADS LIMITED,ESSEL LUCKNOW RAEBARELI TOLL ROADS LIMITED
INE465R,FORBES TECHNOSYS LIMITED,FORBES TECHNOSYS LIMITED
INE466L,IIFL WEALTH MANAGEMENT LIMITED,IIFL WEALTH MANAGEMENT LIMITED
INE466X,KARUNA HEALTHCARE PRIVATE LIMITED,KARUNA HEALTHCARE PRIVATE LIMITED
INE467V,HOUSE OF KIERAYA LIMITED,HOUSE OF KIERAYA LIMITED
INE468M,SHRIRAM EQUIPMENT FINANCE CO LTD,SHRIRAM EQUIPMENT FINANCE CO LTD | SHRIRAM TRANSPORT FINANCE COMPANY LIMITED
INE468N,ECAP EQUITIES LIMITED,ECAP EQUITIES LIMITED
INE470T,HIGH POINT PROPERTIES PRIVATE LIMITED,HIGH POINT PROPERTIES PRIVATE LIMITED
INE471T,ORBIT PROJECTS PRIVATE LIMITED,ORBIT PROJECTS PRIVATE LIMITED
INE471X,SANKHYA FINANCIAL SERVICES PRIVATE LIMITED,SANKHYA FINANCIAL SERVICES PRIVATE LIMITED
INE472T,ORBIT NIKETAN PRIVATE LIMITED,ORBIT NIKETAN PRIVATE LIMITED
INE473K,VADRAJ CEMENT LIMITED,VADRAJ CEMENT LIMITED
INE473U,SEI VENUS PRIVATE LIMITED,SEI VENUS PRIVATE LIMITED
INE473W,RKV ENTERPRISES PRIVATE LIMITED,RKV ENTERPRISES PRIVATE LIMITED
INE474U,SEI DIAMOND PRIVATE LIMITED,SEI DIAMOND PRIVATE LIMITED
INE476A,CANARA BANK,CANARA BANK
INE476I,MUMBAI INTERNATIONAL AIRPORT LIMITED,MUMBAI INTERNATIONAL AIRPORT LIMITED
INE476M,L,L | L&T HOUSING FINANCE LIMITED
INE476S,GREENKO CLEAN ENERGY PROJECTS PRIVATE LIMITED,GREENKO CLEAN ENERGY PROJECTS PRIVATE LIMITED
INE477A,CAN FIN HOMES LIMITED,CAN FIN HOMES LIMITED
INE477K,GREEN INFRA WIND ENERGY LIMITED,GREEN INFRA WIND ENERGY LIMITED
INE477L,IIFL HOME FINANCE LIMITED,IIFL HOME FINANCE LIMITED
INE477S,TATA GROUP,TATA GROUP
INE477Z,GREATER HYDERABAD MUNICIPAL CORPORATION,GREATER HYDERABAD MUNICIPAL CORPORATION
INE479R,KARELIDES TRADERS PRIVATE LIMITED,KARELIDES TRADERS PRIVATE LIMITED
INE480D,NIYOGIN FINTECH LIMITED,NIYOGIN FINTECH LIMITED
INE481G,ULTRATECH CEMENT LIMITED,ULTRATECH CEMENT LIMITED
INE482A,CEAT LIMITED,CEAT LIMITED
INE482G,TATA GROUP,TATA GROUP
INE482N,SHREE VENKATESH MULTI SERVICES PRIVATE LTD,SHREE VENKATESH MULTI SERVICES PRIVATE LTD
INE483A,CENTRAL BANK OF INDIA,CENTRAL BANK OF INDIA
INE483Z,KOHIMA-MARIANI TRANSMISSION LIMITED,KOHIMA-MARIANI TRANSMISSION LIMITED
INE484A,HDFC GROUP,HDFC GROUP
INE484J,GODREJ PROPERTIES LIMITED,GODREJ PROPERTIES LIMITED
INE485H,RMZ INFOTECH PRIVATE LIMITED,RMZ INFOTECH PRIVATE LIMITED
INE486H,KRIBHCO FERTILIZERS LIMITED,KRIBHCO FERTILIZERS LIMITED
INE487H,MILLENNIA REALTORS PRIVATE LIMITED,MILLENNIA REALTORS PRIVATE LIMITED
INE487L,IIFL FACILITIES SERVICES LIMITED,IIFL FACILITIES SERVICES LIMITED
INE487V,GREEN VALLEYS SHELTERS PRIVATE LIMITED,GREEN VALLEYS SHELTERS PRIVATE LIMITED
INE488A,CHEM SANMAR 12,CHEM SANMAR 12
INE491F,DELHI TRANSCO LIMITED,DELHI TRANSCO LIMITED
INE492B,FIRST LEASING,FIRST LEASING
INE494B,TVS MOTOR COMPANY LIMITED,TVS MOTOR COMPANY LIMITED
INE494M,IFCI FACTORS LIMITED,IFCI FACTORS LIMITED
INE496R,ABELLON ENERGY LIMITED,ABELLON ENERGY LIMITED
INE496S,ORISSA STEVEDORES LIMITED,ORISSA STEVEDORES LIMITED
INE497W,ALTUM CREDO HOME FINANCE PRIVATE LIMITED,ALTUM CREDO HOME FINANCE PRIVATE LIMITED
INE498F,ESSEL INFRAPROJECTS LIMITED,ESSEL INFRAPROJECTS LIMITED
INE498L,L & T FINANCE HOLDINGS LIMITED,L & T FINANCE HOLDINGS LIMITED | L&T FINANCE LIMITED
INE499S,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED
INE500A,DCW LIMITED,DCW LIMITED
INE500S,CREDITACCESS GRAMEEN LIMITED,CREDITACCESS GRAMEEN LIMITED
INE501A,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED
INE501X,AYE FINANCE LIMITED,AYE FINANCE LIMITED | AYE FINANCE PRIVATE LIMITED
INE502K,TALWALKARS BETTER VALUE FITNESS LTD,TALWALKARS BETTER VALUE FITNESS LTD
INE503A,DCB BANK LIMITED,DCB BANK LIMITED
INE503B,STEEL EXCHANGE INDIA LIMITED,STEEL EXCHANGE INDIA LIMITED
INE503N,AMBA RIVER COKE LIMITED,AMBA RIVER COKE LIMITED
INE503P,EDELCAP SECURITIES LIMITED,EDELCAP SECURITIES LIMITED
INE503V,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED
INE504H,ANAND RATHI FINANCIAL SERVICES LTD.,ANAND RATHI FINANCIAL SERVICES LTD.
INE504L,RELIANCE GROUP,RELIANCE GROUP
INE506Y,AZURE POWER INDIA PRIVATE LIMITED,AZURE POWER INDIA PRIVATE LIMITED
INE507R,OPJ TRADING PRIVATE LIMITED,OPJ TRADING PRIVATE LIMITED
INE507T,SUMMIT DIGITEL INFRASTRUCTURE LIMITED,SUMMIT DIGITEL INFRASTRUCTURE LIMITED
INE508G,TIME TECHNOPLAST LIMITED,TIME TECHNOPLAST LIMITED
INE509M,SONATA FINANCE PRIVATE LIMITED,SONATA FINANCE PRIVATE LIMITED
INE509P,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED,ASHIANA LANDCRAFT REALTY PRIVATE LIMITED
INE510W,INOX WIND INFRASTRUCTURE SERVICES LIMITED,INOX WIND INFRASTRUCTURE SERVICES LIMITED
INE511C,MAGMA FINCORP LIMITED,MAGMA FINCORP LIMITED
INE511G,ARCIL-SBPS-001-I TRUST,ARCIL-SBPS-001-I TRUST
INE511N,AXIS GROUP,AXIS GROUP
INE512G,ARCIL-SBPS-001-II TRUST,ARCIL-SBPS-001-II TRUST
INE512P,SOLITAIRE INDUSTRIAL INFRASTRUCTURE PVT. LTD.,SOLITAIRE INDUSTRIAL INFRASTRUCTURE PVT. LTD.
INE512S,CHHATTISGARH STATE POWER DISTRIBUTION COMPANY LIMITED,CHHATTISGARH STATE POWER DISTRIBUTION COMPANY LIMITED
INE512U,TRUEWIN REALTY LIMITED,TRUEWIN REALTY LIMITED
INE513P,KINDLE ENGINEERING AND CONSTRUCTION PVT LTD.,KINDLE ENGINEERING AND CONSTRUCTION PVT LTD.
INE514E,EXIM INDIA,EXIM INDIA | EXPORT IMPORT BANK OF INDIA
INE514F,NEELACHAL ISPAT NIGAM LIMITED,NEELACHAL ISPAT NIGAM LIMITED
INE514P,DELIGENTIA ENERGY AND INFRASTRUCTURES PRIVATE LIMITED,DELIGENTIA ENERGY AND INFRASTRUCTURES PRIVATE LIMITED
INE515Q,ANNAPURNA FINANCE PRIVATE LIMITED,ANNAPURNA FINANCE PRIVATE LIMITED
INE515V,IFMR CAPITAL MOSEC AZEROTH 2016,IFMR CAPITAL MOSEC AZEROTH 2016
INE516L,TATA GROUP,TATA GROUP
INE516Q,ASIRVAD MICRO FINANCE LIMITED,ASIRVAD MICRO FINANCE LIMITED
INE516T,ANSAL URBAN CONDOMINIUMS PRIVATE LIMITED,ANSAL URBAN CONDOMINIUMS PRIVATE LIMITED
INE516Y,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED
INE517B,TATA GROUP,TATA GROUP
INE517H,ADVANTA LIMITED,ADVANTA LIMITED
INE518A,FORBES & COMPANY LIMITED,FORBES & COMPANY LIMITED
INE518T,AGARWAL PACKERS AND MOVERS LIMITED,AGARWAL PACKERS AND MOVERS LIMITED
INE519Q,AU SMALL FINANCE BANK LIMITED,AU SMALL FINANCE BANK LIMITED
INE519U,MORGAN CREDITS PRIVATE LIMITED,MORGAN CREDITS PRIVATE LIMITED
INE521E,RBS FINANCIAL SERVICES (INDIA) PRIVATE LTD,RBS FINANCIAL SERVICES (INDIA) PRIVATE LTD
INE522D,MANAPPURAM FINANCE LIMITED,MANAPPURAM FINANCE LIMITED
INE523E,L & T FINANCE LTD,L & T FINANCE LTD | L&T FINANCE LIMITED
INE523H,JM FINANCIAL PRODUCTS LIMITED,JM FINANCIAL PRODUCTS LIMITED
INE523L,NUVAMA WEALTH AND INVESTMENT LIMITED,NUVAMA WEALTH AND INVESTMENT LIMITED
INE525E,NATIONAL CAPITAL REGION PLANNING BOARD,NATIONAL CAPITAL REGION PLANNING BOARD
INE525L,NUVAMA CLEARING SERVICES LIMITED,NUVAMA CLEARING SERVICES LIMITED
INE525V,SYSTEMTRAC TRADERS PRIVATE LIMITED,SYSTEMTRAC TRADERS PRIVATE LIMITED
INE526R,STAR HOUSING FINANCE LIMITED,STAR HOUSING FINANCE LIMITED
INE526S,HAZARIBAGH RANCHI EXPRESSWAY LIMITED,HAZARIBAGH RANCHI EXPRESSWAY LIMITED
INE528G,YES BANK LIMITED,YES BANK LIMITED
INE528L,EAAA INDIA ALTERNATIVES LIMITED,EAAA INDIA ALTERNATIVES LIMITED
INE528S,ECL FINANCE LIMITED,ECL FINANCE LIMITED | EDELWEISS RETAIL FINANCE LIMITED
INE529N,GREENKO WIND PROJECTS PRIVATE LIMITED,GREENKO WIND PROJECTS PRIVATE LIMITED
INE529U,AXIS GROUP,AXIS GROUP
INE530B,IIFL FINANCE LIMITED,IIFL FINANCE LIMITED
INE530L,NIDO HOME FINANCE LIMITED,NIDO HOME FINANCE LIMITED
INE531F,EDELWEISS SECURITIES LIMITED,EDELWEISS SECURITIES LIMITED
INE532F,EDELWEISS CAPITAL LIMITED,EDELWEISS CAPITAL LIMITED | EDELWEISS FINANCIAL SERVICES LIMITED
INE532S,DISH INFRA SERVICES PRIVATE LIMITED,DISH INFRA SERVICES PRIVATE LIMITED
INE535H,FULLERTON INDIA CREDIT COMPANY LTD,FULLERTON INDIA CREDIT COMPANY LTD
INE535J,KRISHNA E CAMPUS PVT LTD,KRISHNA E CAMPUS PVT LTD
INE535N,HARYANA VIDYUT PRASARAN NIGAM LIMITED,HARYANA VIDYUT PRASARAN NIGAM LIMITED
INE535T,BAU DEVELOPERS PRIVATE LIMITED,BAU DEVELOPERS PRIVATE LIMITED
INE536N,OMKAR REALTORS & DEVELOPERS PRIVATE LIMITED,OMKAR REALTORS & DEVELOPERS PRIVATE LIMITED
INE537P,INDIA INFRADEBT LIMITED,INDIA INFRADEBT LIMITED
INE538F,ESSAR POWER LIMITED,ESSAR POWER LIMITED
INE538L,AADHAR HOUSING FINANCE LIMITED,AADHAR HOUSING FINANCE LIMITED
INE539K,CREDILA FINANCIAL SERVICES LIMITED,CREDILA FINANCIAL SERVICES LIMITED
INE540B,RELIANCE GROUP,RELIANCE GROUP
INE540O,ATHAANG DEVANAHALLI TOLLWAY PRIVATE LIMITED,ATHAANG DEVANAHALLI TOLLWAY PRIVATE LIMITED
INE540P,U.P. POWER CORPORATION LIMITED,U.P. POWER CORPORATION LIMITED
INE540U,PENINSULA INFRA DEVELOPMENTS PRIVATE LIMITED,PENINSULA INFRA DEVELOPMENTS PRIVATE LIMITED
INE540V,ASHAPURA HOUSING PRIVATE LIMITED,ASHAPURA HOUSING PRIVATE LIMITED
INE542R,PARINEE REALTORS PRIVATE LIMITED,PARINEE REALTORS PRIVATE LIMITED
INE542W,KPI GREEN ENERGY LIMITED,KPI GREEN ENERGY LIMITED
INE545L,MANGAL CREDIT AND FINCORP LIMITED,MANGAL CREDIT AND FINCORP LIMITED
INE546S,ESSEM INFRA PRIVATE LIMITED,ESSEM INFRA PRIVATE LIMITED
INE547Q,TOTAL ENVIRONMENT BUILDING SYSTEMS PVT LTD,TOTAL ENVIRONMENT BUILDING SYSTEMS PVT LTD
INE548C,EMAMI LIMITED,EMAMI LIMITED
INE548V,NUVOCO VISTAS CORPORATION LIMITED,NUVOCO VISTAS CORPORATION LIMITED
INE549F,KARNATAKA STATE FINANCIAL CORPORATION,KARNATAKA STATE FINANCIAL CORPORATION
INE549H,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,ANAND RATHI SHARE AND STOCK BROKERS LIMITED
INE549K,MUTHOOT FINCORP LIMITED,MUTHOOT FINCORP LIMITED
INE550V,GMR AIR CARGO AND AEROSPACE ENGINEERING LIMITED,GMR AIR CARGO AND AEROSPACE ENGINEERING LIMITED
INE551U,SAMUNNATI FINANCE PRIVATE LIMITED,SAMUNNATI FINANCE PRIVATE LIMITED
INE551W,UJJIVAN SMALL FINANCE BANK LIMITED,UJJIVAN SMALL FINANCE BANK LIMITED
INE552Y,SANSAR TRUST SEP 2017 III,SANSAR TRUST SEP 2017 III
INE554Q,SHETH CREATORS AND CONSTRUCTORS PRIVATE LTD,SHETH CREATORS AND CONSTRUCTORS PRIVATE LTD
INE555J,PATEL KNR HEAVY INFRASTRUCTURES PRIVATE LIMITED,PATEL KNR HEAVY INFRASTRUCTURES PRIVATE LIMITED
INE556F,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
INE556L,L&T HALOL-SHAMLAJI TOLLWAY LIMITED,L&T HALOL-SHAMLAJI TOLLWAY LIMITED
INE556S,EAST-NORTH INTERCONNECTION COMPANY LIMITED,EAST-NORTH INTERCONNECTION COMPANY LIMITED
INE557F,NATIONAL HOUSING BANK,NATIONAL HOUSING BANK
INE557H,ARCIL-SBPS-001-VIII TRUST,ARCIL-SBPS-001-VIII TRUST
INE557L,AHMEDABAD-MALIYA TOLLWAY LIMITED,AHMEDABAD-MALIYA TOLLWAY LIMITED
INE558H,ARCIL-SBPS-001-IX- TRUST,ARCIL-SBPS-001-IX- TRUST
INE558T,RENEW AKSHAY URJA LIMITED,RENEW AKSHAY URJA LIMITED
INE559H,ARCIL- SBPS-001-X- TRUST,ARCIL- SBPS-001-X- TRUST
INE559N,SRG HOUSING FINANCE LIMITED,SRG HOUSING FINANCE LIMITED
INE560H,ARCIL-SBPS-001-XI- TRUST,ARCIL-SBPS-001-XI- TRUST
INE560K,PTC INDIA FINANCIAL SERVICES LIMITED,PTC INDIA FINANCIAL SERVICES LIMITED
INE560L,ERA HOUSING,ERA HOUSING
INE562A,INDIAN BANK,INDIAN BANK
INE564G,DEUTSCHE POSTBANK HOME FINANCE LIMITED,DEUTSCHE POSTBANK HOME FINANCE LIMITED | DEWAN HOUSING FINANCE CORPORATION LIMITED
INE565A,INDIAN OVERSEAS BANK,INDIAN OVERSEAS BANK
INE568Q,INCLINE REALTY PRIVATE LIMITED,INCLINE REALTY PRIVATE LIMITED
INE571A,IPCA LABORATORIES LIMITED,IPCA LABORATORIES LIMITED
INE572E,PNB HOUSING FINANCE LTD,PNB HOUSING FINANCE LTD
INE572F,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LTD,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LTD
INE572J,SPANDANA SPHOORTY FINANCIAL LIMITED,SPANDANA SPHOORTY FINANCIAL LIMITED
INE572K,SRL DIAGNOSTICS PRIVATE LIMITED,SRL DIAGNOSTICS PRIVATE LIMITED
INE572O,ECAP EQUITIES LIMITED,ECAP EQUITIES LIMITED
INE572X,MYTRAH UJJVAL POWER PRIVATE LIMITED,MYTRAH UJJVAL POWER PRIVATE LIMITED
INE573S,SUNTRACK COMMERCE PRIVATE LIMITED,SUNTRACK COMMERCE PRIVATE LIMITED
INE574S,DIWAKAR VINIYOG PRIVATE LIMITED,DIWAKAR VINIYOG PRIVATE LIMITED
INE575M,METROPOLITAN INFRAHOUSING PRIVATE LIMITED,METROPOLITAN INFRAHOUSING PRIVATE LIMITED
INE575P,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED
INE575S,BHANU VYAPAAR PRIVATE LIMITED,BHANU VYAPAAR PRIVATE LIMITED
INE576S,RAVIRAJ VINIYOG PRIVATE LIMITED,RAVIRAJ VINIYOG PRIVATE LIMITED
INE577N,WADHWA GROUP HOLDINGS PRIVATE LIMITED,WADHWA GROUP HOLDINGS PRIVATE LIMITED
INE577S,PRABHAKAR VINIYOG PRIVATE LIMITED,PRABHAKAR VINIYOG PRIVATE LIMITED
INE578S,SNEHA NIKETAN PRIVATE LIMITED,SNEHA NIKETAN PRIVATE LIMITED
INE580B,GRUH FINANCE LIMITED,GRUH FINANCE LIMITED
INE580S,SNEHA ABASAN PRIVATE LIMITED,SNEHA ABASAN PRIVATE LIMITED
INE581S,SNEHA GARDENS PRIVATE LIMITED,SNEHA GARDENS PRIVATE LIMITED
INE582L,TATA GROUP,TATA GROUP
INE582R,CONTINENTAL DRUG COMPANY PRIVATE LIMITED,CONTINENTAL DRUG COMPANY PRIVATE LIMITED
INE583D,UGRO CAPITAL LIMITED,UGRO CAPITAL LIMITED
INE583J,TRIL INFOPARK LIMITED,TRIL INFOPARK LIMITED
INE583L,AGS TRANSACT TECHNOLOGIES LIMITED,AGS TRANSACT TECHNOLOGIES LIMITED
INE584A,NMDC STEEL LIMITED,NMDC STEEL LIMITED
INE584T,RADIUS & DESERVE LAND DEVELOPERS PRIVATE LIMITED,RADIUS & DESERVE LAND DEVELOPERS PRIVATE LIMITED
INE584V,ASIAN BUSINESS CONNECTIONS PRIVATE LIMITED,ASIAN BUSINESS CONNECTIONS PRIVATE LIMITED
INE587B,GE CAPITAL SERVICES INDIA,GE CAPITAL SERVICES INDIA
INE587O,ALTICO CAPITAL INDIA LIMITED,ALTICO CAPITAL INDIA LIMITED
INE589A,NLC INDIA LIMITED,NLC INDIA LIMITED
INE591V,RADIANT LIFE CARE PRIVATE LIMITED,RADIANT LIFE CARE PRIVATE LIMITED
INE592A,ORIENT PAPER,ORIENT PAPER | ORIENT PAPER & INDUSTRIES LIMITED
INE595I,DURG SHIVNATH EXPRESSWAYS PRIVATE LIMITED,DURG SHIVNATH EXPRESSWAYS PRIVATE LIMITED
INE597F,GMR ENERGY LIMITED,GMR ENERGY LIMITED
INE597H,TGS INVESTMENT AND  TRADE PRIVATE LIMITED,TGS INVESTMENT AND  TRADE PRIVATE LIMITED
INE598K,PUNE SOLAPUR EXPRESSWAYS PVT. LTD,PUNE SOLAPUR EXPRESSWAYS PVT. LTD
INE601U,TATA GROUP,TATA GROUP
INE604U,CAMDEN INDUSTRIES LIMITED,CAMDEN INDUSTRIES LIMITED
INE605Y,AUXILO FINSERVE PRIVATE LIMITED,AUXILO FINSERVE PRIVATE LIMITED
INE606L,ADITYA BIRLA RETAIL LIMITED,ADITYA BIRLA RETAIL LIMITED | MORE RETAIL PRIVATE LIMITED
INE607M,TATA GROUP,TATA GROUP
INE608A,PUNJAB & SIND BANK,PUNJAB & SIND BANK | PUNJAB AND SIND BANK
INE608T,NSPIRA MANAGEMENT SERVICES PRIVATE LIMITED,NSPIRA MANAGEMENT SERVICES PRIVATE LIMITED
INE610F,GRIDCO LIMITED,GRIDCO LIMITED
INE610U,CLASSIC STRIPES PRIVATE LIMITED,CLASSIC STRIPES PRIVATE LIMITED
INE611O,MAHINDRA BEBANCO DEVELOPERS LIMITED,MAHINDRA BEBANCO DEVELOPERS LIMITED
INE611T,APARNA INFRAENERGY INDIA PRIVATE LIMITED,APARNA INFRAENERGY INDIA PRIVATE LIMITED
INE612J,REPCO HOME FINANCE LTD.,REPCO HOME FINANCE LTD.
INE612U,ELECTRONICA FINANCE LIMITED,ELECTRONICA FINANCE LIMITED
INE613A,RALLIS INDIA LIMITED,RALLIS INDIA LIMITED
INE614B,THE KARNATAKA BANK LIMITED,THE KARNATAKA BANK LIMITED
INE614G,RELIANCE GROUP,RELIANCE GROUP
INE614X,DHANI LOANS AND SERVICES LIMITED,DHANI LOANS AND SERVICES LIMITED
INE615R,TRUCAP FINANCE LIMITED,TRUCAP FINANCE LIMITED
INE615S,STERLITE POWER GRID VENTURES LIMITED,STERLITE POWER GRID VENTURES LIMITED
INE616U,EDELWEISS COMMODITIES SERVICES LIMITED,EDELWEISS COMMODITIES SERVICES LIMITED
INE618W,SHELTREX KARJAT PRIVATE LIMITED,SHELTREX KARJAT PRIVATE LIMITED
INE621H,RELIGARE ENTERPRISES LIMITED,RELIGARE ENTERPRISES LIMITED
INE621O,SAMRUDDHI REALTY LIMITED,SAMRUDDHI REALTY LIMITED
INE622O,BHASKAR INDUSTRIES PRIVATE LIMITED,BHASKAR INDUSTRIES PRIVATE LIMITED
INE622W,ACME SOLAR HOLDINGS PRIVATE  LIMITED,ACME SOLAR HOLDINGS PRIVATE  LIMITED
INE623B,FUTURE ENTERPRISES LIMITED,FUTURE ENTERPRISES LIMITED
INE626J,NAGPUR-SEONI EXPRESS WAY LIMITED,NAGPUR-SEONI EXPRESS WAY LIMITED
INE627P,SGGD PROJECTS DEVELOPMENT PRIVATE LIMITED,SGGD PROJECTS DEVELOPMENT PRIVATE LIMITED
INE628A,UPL LIMITED,UPL LIMITED
INE628H,ORBIT CORPORATION LIMITED,ORBIT CORPORATION LIMITED
INE628K,PRAKAUSALI INVESTMENTS (INDIA) PVTLTD,PRAKAUSALI INVESTMENTS (INDIA) PVTLTD
INE629U,GOLDEN SPARROW REALTY PRIVATE LIMITED,GOLDEN SPARROW REALTY PRIVATE LIMITED
INE631K,WEST BENGAL STATE ELECTRICITY TRANSMISSION COMPANY LIMITED,WEST BENGAL STATE ELECTRICITY TRANSMISSION COMPANY LIMITED
INE631U,SINTEX-BAPL LIMITED,SINTEX-BAPL LIMITED
INE634N,COFFEE DAY NATURAL RESOURCES PRIVATE LIMITED,COFFEE DAY NATURAL RESOURCES PRIVATE LIMITED
INE634S,MANKIND PHARMA LIMITED,MANKIND PHARMA LIMITED
INE635M,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY LTD,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY LTD
INE635O,OCEANUS DWELLINGS PRIVATE LIMITED,OCEANUS DWELLINGS PRIVATE LIMITED
INE636F,NORTH EASTERN ELECTRIC POWER CORPORATION LIMITED,NORTH EASTERN ELECTRIC POWER CORPORATION LIMITED
INE637G,ANDHRA PRADESH WATER RESOURCES DEVPT CORP,ANDHRA PRADESH WATER RESOURCES DEVPT CORP
INE637H,SHIVAM AUTOTECH LIMITED,SHIVAM AUTOTECH LIMITED
INE638F,TAMILNADU INDUSTRIAL INVESTMENT CORPORATION LIMITED,TAMILNADU INDUSTRIAL INVESTMENT CORPORATION LIMITED
INE640N,SHETH BUILDWELL PRIVATE LIMITED,SHETH BUILDWELL PRIVATE LIMITED
INE641O,PHL FINANCE PRIVATE LIMITED,PHL FINANCE PRIVATE LIMITED | PIRAMAL FINANCE LIMITED
INE646H,CAPITAL SMALL FINANCE BANK LIMITED,CAPITAL SMALL FINANCE BANK LIMITED
INE646T,NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED,NUEVO NEXTRA DEVELOPERS PRIVATE LIMITED
INE647A,SRF LIMITED,SRF LIMITED
INE647O,ADITYA BIRLA FASHION AND RETAIL LIMITED,ADITYA BIRLA FASHION AND RETAIL LIMITED
INE647U,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED
INE648A,STATE BANK OF BIKANER AND JAIPUR,STATE BANK OF BIKANER AND JAIPUR
INE649A,STATE BANK OF INDIA,STATE BANK OF INDIA
INE649M,GUTTASEEMA WIND ENERGY COMPANY PRIVATE LTD,GUTTASEEMA WIND ENERGY COMPANY PRIVATE LTD
INE650A,STATE BANK OF INDIA,STATE BANK OF INDIA
INE651A,STATE BANK OF INDIA,STATE BANK OF INDIA
INE651J,JM FINANCIAL CREDIT SOLUTIONS LIMITED,JM FINANCIAL CREDIT SOLUTIONS LIMITED
INE652A,STATE BANK OF INDIA,STATE BANK OF INDIA
INE653A,STATE BANK OF INDIA,STATE BANK OF INDIA
INE654A,STATE BANK OF INDIA,STATE BANK OF INDIA | STATE BANK OF TRAVANCORE
INE656J,GEETANJALI TRADING AND INVESTMENTS PVT LTD,GEETANJALI TRADING AND INVESTMENTS PVT LTD
INE657H,DELHI INTERNATIONAL AIRPORT LIMITED,DELHI INTERNATIONAL AIRPORT LIMITED
