ISIN_7_PREFIX,Company,All Companies Seen
INE082M,ARUN EXCELLO REALTY PRIVATE LIMITED,ARUN EXCELLO REALTY PRIVATE LIMITED
INE082O,PARRY SUGARS REFINERY INDIA PRIVATE LIMITED,PARRY SUGARS REFINERY INDIA PRIVATE LIMITED
INE082P,SHAH GROUP BUILDERS LIMITED,SHAH GROUP BUILDERS LIMITED
INE082T,DILIGENT MEDIA CORPORATION LIMITED,DILIGENT MEDIA CORPORATION LIMITED
INE0833,OMKARA PS22/2018-19 TRUST,OMKARA PS22/2018-19 TRUST
INE0847,INDIA RESURGENCE ARC TRUST - I,INDIA RESURGENCE ARC TRUST - I
INE084A,BANK OF INDIA,BANK OF INDIA
INE084G,TAMILNADU ELECTRICITY BOARD,TAMILNADU ELECTRICITY BOARD
INE084P,SUMIT REALTY PRIVATE LIMITED,SUMIT REALTY PRIVATE LIMITED
INE085A,CHAMBAL FERT,CHAMBAL FERT
INE086A,ELECTRO STEEL,ELECTRO STEEL
INE086R,BARATH BUILDING CONSTRUCTION (INDIA) PRIVATE LIMITED,BARATH BUILDING CONSTRUCTION (INDIA) PRIVATE LIMITED
INE087A,KESORAM INDUST,KESORAM INDUST
INE087H,SHREE RENUKA SUGARS LIMITED,SHREE RENUKA SUGARS LIMITED
INE087M,BAHADUR CHAND INVESTMENTS PRIVATE LIMITED,BAHADUR CHAND INVESTMENTS PRIVATE LIMITED
INE087P,AVANSE FINANCIAL SERVICES LIMITED,AVANSE FINANCIAL SERVICES LIMITED
INE088M,SAHYOG HOMES LIMITED,SAHYOG HOMES LIMITED
INE089A,DR. REDDY'S LABORATORIES LIMITED,DR. REDDY'S LABORATORIES LIMITED
INE089C,STERLITE TECHNOLOGIES LIMITED,STERLITE TECHNOLOGIES LIMITED
INE089J,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,BHARTI AXA LIFE INSURANCE COMPANY LIMITED
INE08BR,SURYAPET KHAMMAM ROAD PRIVATE LIMITED,SURYAPET KHAMMAM ROAD PRIVATE LIMITED
INE08BT,MANCHERIAL REPALLEWADA ROAD PRIVATE LIMITED,MANCHERIAL REPALLEWADA ROAD PRIVATE LIMITED
INE08E8,SHRI RAM FINANCE CORPORATION PRIVATE LIMITED,SHRI RAM FINANCE CORPORATION PRIVATE LIMITED
INE08EQ,GUJARAT STATE INVESTMENTS LIMITED,GUJARAT STATE INVESTMENTS LIMITED
INE08KJ,MUFIN GREEN FINANCE LIMITED,MUFIN GREEN FINANCE LIMITED
INE08X5,BHANIX FINANCE AND INVESTMENT LIMITED,BHANIX FINANCE AND INVESTMENT LIMITED
INE08XA,FINSTARS CAPITAL LIMITED,FINSTARS CAPITAL LIMITED
INE08XP,AKARA CAPITAL ADVISORS PRIVATE LIMITED,AKARA CAPITAL ADVISORS PRIVATE LIMITED
INE08Z6,VASTU FINSERVE INDIA PRIVATE LIMITED,VASTU FINSERVE INDIA PRIVATE LIMITED
INE090A,ICICI GROUP,ICICI GROUP
INE090H,DSP MERRILL LYNCH CAPITAL,DSP MERRILL LYNCH CAPITAL
INE090W,LENDINGKART FINANCE LIMITED,LENDINGKART FINANCE LIMITED
INE091A,NIRMA LIMITED,NIRMA LIMITED
INE091D,PUNJAB INFRASTRUCTURE DEVELOPMENT BOARD,PUNJAB INFRASTRUCTURE DEVELOPMENT BOARD
INE092A,TATA GROUP,TATA GROUP
INE092T,IDFC FIRST BANK LIMITED,IDFC FIRST BANK LIMITED
INE092V,HDFC GROUP,HDFC GROUP
INE093I,OBEROI REALTY LIMITED,OBEROI REALTY LIMITED
INE093J,ANAND RATHI GLOBAL FINANCE LIMITED,ANAND RATHI GLOBAL FINANCE LIMITED
INE094A,HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDUSTAN PETROLEUM CORPORATION LIMITED
INE094I,KOLTE-PATIL DEVELOPERS LIMITED,KOLTE-PATIL DEVELOPERS LIMITED
INE094O,DAIMLER FINANCIAL SERVICES INDIA PRIVATE LTD,DAIMLER FINANCIAL SERVICES INDIA PRIVATE LTD
INE095A,INDUSIND BANK LIMITED,INDUSIND BANK LIMITED
INE097C,TATA GROUP,TATA GROUP
INE097P,EDISONS INFRAPOWER & MULTIVENTURES PRIVATE LIMITED,EDISONS INFRAPOWER & MULTIVENTURES PRIVATE LIMITED
INE097T,OMKAR REALTORS PROJECTS PRIVATE LIMITED,OMKAR REALTORS PROJECTS PRIVATE LIMITED
INE098T,MARVEL SIGMA HOMES PRIVATE LIMITED,MARVEL SIGMA HOMES PRIVATE LIMITED
INE0993,JMFARC - FABRICS JUNE 2019 1 TRUST,JMFARC - FABRICS JUNE 2019 1 TRUST
INE09BC,STRITON PROPERTIES PRIVATE LIMITED,STRITON PROPERTIES PRIVATE LIMITED
INE0A0Q,AVANCE TECHNOHUB PRIVATE LIMITED,AVANCE TECHNOHUB PRIVATE LIMITED
INE0A30,WESTERN CAPITAL ADVISORS PRIVATE LIMITED,WESTERN CAPITAL ADVISORS PRIVATE LIMITED
INE0A4V,APARAJITHA CORPORATE SERVICES PRIVATE LIMITED,APARAJITHA CORPORATE SERVICES PRIVATE LIMITED
INE0AD5,ASEEM INFRASTRUCTURE FINANCE LIMITED,ASEEM INFRASTRUCTURE FINANCE LIMITED
INE0AED,AI ASSETS HOLDING LIMITED,AI ASSETS HOLDING LIMITED
INE0AN4,RARE ARC 042 TRUST,RARE ARC 042 TRUST
INE0AN7,ACRE - 90 - TRUST,ACRE - 90 - TRUST
INE0AS9,ABARC-AST-002-TRUST,ABARC-AST-002-TRUST
INE0AXE,REDDY VEERANNA INVESTMENTS PRIVATE LIMITED,REDDY VEERANNA INVESTMENTS PRIVATE LIMITED
INE0AY2,RENSERV GLOBAL PRIVATE LIMITED,RENSERV GLOBAL PRIVATE LIMITED
INE0AZ9,ADVANCED PERFORMANCE MATERIALS PRIVATE LIMITED,ADVANCED PERFORMANCE MATERIALS PRIVATE LIMITED
INE0B0P,JCFARC TRUST 2019-20/2,JCFARC TRUST 2019-20/2
INE0B3K,CASA GRANDE GRACE PRIVATE LIMITED,CASA GRANDE GRACE PRIVATE LIMITED
INE0BBH,APEX HOMES PRIVATE LIMITED,APEX HOMES PRIVATE LIMITED
INE0BDO,JCFARC TRUST 2019-20/3,JCFARC TRUST 2019-20/3
INE0BFM,INDIA RESURGENCE ARC TRUST II,INDIA RESURGENCE ARC TRUST II
INE0BJR,WRSS XXI (A) TRANSCO LIMITED,WRSS XXI (A) TRANSCO LIMITED
INE0BNQ,AVANTI FINANCE PRIVATE LIMITED,AVANTI FINANCE PRIVATE LIMITED
INE0BO7,OMKARA PS18/2019-20 TRUST,OMKARA PS18/2019-20 TRUST
INE0BTV,FIRST BUSINESS RECEIVABLES TRUST,FIRST BUSINESS RECEIVABLES TRUST
INE0BUS,INDEL MONEY  LIMITED,INDEL MONEY  LIMITED
INE0BWS,ALTIUS TELECOM INFRASTRUCTURE TRUST,ALTIUS TELECOM INFRASTRUCTURE TRUST
INE0BXU,JCFARC TRUST 2019-20/4,JCFARC TRUST 2019-20/4
INE0C02,EARC TRUST -SC 388,EARC TRUST -SC 388
INE0C0E,INDEL CORPORATION PRIVATE LIMITED,INDEL CORPORATION PRIVATE LIMITED
INE0C3F,MOBIL TRUST SERIES - 07,MOBIL TRUST SERIES - 07
INE0C52,LAKADIA BANASKANTHA TRANSCO LIMITED,LAKADIA BANASKANTHA TRANSCO LIMITED
INE0CCU,MINDSPACE BUSINESS PARKS REIT,MINDSPACE BUSINESS PARKS REIT
INE0CEK,CASAGRAND PREMIER BUILDER LIMITED,CASAGRAND PREMIER BUILDER LIMITED
INE0CLM,RARE ARC 046 TRUST,RARE ARC 046 TRUST
INE0CLN,RARE ARC 047 TRUST,RARE ARC 047 TRUST
INE0D3N,EARC TRUST - SC 404,EARC TRUST - SC 404
INE0D73,ACRE-100-TRUST,ACRE-100-TRUST
INE0D8F,OPG POWER GENERATION PRIVATE LIMITED,OPG POWER GENERATION PRIVATE LIMITED
INE0DBJ,MIZUHO CAPSAVE FINANCE PRIVATE LIMITED,MIZUHO CAPSAVE FINANCE PRIVATE LIMITED
INE0DFO,LANCO SOLAR (GUJARAT) PRIVATE LIMITED,LANCO SOLAR (GUJARAT) PRIVATE LIMITED
INE0DMM,FORTUNE EMPRESA PRIVATE LIMITED,FORTUNE EMPRESA PRIVATE LIMITED
INE0DZE,KISETSU SAISON FINANCE (INDIA) PRIVATE LIMITED,KISETSU SAISON FINANCE (INDIA) PRIVATE LIMITED
INE0E0L,CSL TITAN III 2020,CSL TITAN III 2020
INE0EIH,JCFARC TRUST 2019-20/5,JCFARC TRUST 2019-20/5
INE0F87,STERLITE GRID 13 LIMITED,STERLITE GRID 13 LIMITED
INE0FDW,STERLITE GRID 29 LIMITED,STERLITE GRID 29 LIMITED
INE0FEZ,STERLITE GRID 14 LIMITED,STERLITE GRID 14 LIMITED
INE0FF0,STERLITE GRID 18 LIMITED,STERLITE GRID 18 LIMITED
INE0FST,LONE FURROW INVESTMENTS PRIVATE LIMITED,LONE FURROW INVESTMENTS PRIVATE LIMITED
INE0FWE,LIQUID GOLD SERIES 3 DEC 2020,LIQUID GOLD SERIES 3 DEC 2020
INE0GCN,ADANI GROUP,ADANI GROUP
